secid,date,days,volatility,ticker,index_flag
107525,20130510,30,0.300075,MSFT,0
107525,20130510,60,0.237208,MSFT,0
107525,20130510,91,0.208997,MSFT,0
107525,20130510,122,0.194723,MSFT,0
107525,20130510,152,0.199242,MSFT,0
107525,20130510,182,0.203823,MSFT,0
107525,20130510,273,0.196319,MSFT,0
107525,20130510,365,0.206134,MSFT,0
107525,20130510,547,0.206109,MSFT,0
107525,20130510,730,0.224907,MSFT,0
107525,20130510,1825,0.314369,MSFT,0
107525,20130513,10,0.159108,MSFT,0
107525,20130513,14,0.179447,MSFT,0
107525,20130513,30,0.248195,MSFT,0
107525,20130513,60,0.243164,MSFT,0
107525,20130513,91,0.208867,MSFT,0
107525,20130513,122,0.195427,MSFT,0
107525,20130513,152,0.198966,MSFT,0
107525,20130513,182,0.201644,MSFT,0
107525,20130513,273,0.196644,MSFT,0
107525,20130513,365,0.205951,MSFT,0
107525,20130513,547,0.205393,MSFT,0
107525,20130513,730,0.225066,MSFT,0
107525,20130513,1825,0.314512,MSFT,0
107525,20130514,10,0.20523,MSFT,0
107525,20130514,14,0.196776,MSFT,0
107525,20130514,30,0.247699,MSFT,0
107525,20130514,60,0.246388,MSFT,0
107525,20130514,91,0.21225,MSFT,0
107525,20130514,122,0.197089,MSFT,0
107525,20130514,152,0.201092,MSFT,0
107525,20130514,182,0.197797,MSFT,0
107525,20130514,273,0.198174,MSFT,0
107525,20130514,365,0.206454,MSFT,0
107525,20130514,547,0.206063,MSFT,0
107525,20130514,730,0.225342,MSFT,0
107525,20130514,1825,0.31457,MSFT,0
107525,20130515,10,0.195505,MSFT,0
107525,20130515,14,0.184127,MSFT,0
107525,20130515,30,0.244827,MSFT,0
107525,20130515,60,0.243651,MSFT,0
107525,20130515,91,0.212567,MSFT,0
107525,20130515,122,0.196234,MSFT,0
107525,20130515,152,0.200286,MSFT,0
107525,20130515,182,0.197437,MSFT,0
107525,20130515,273,0.198421,MSFT,0
107525,20130515,365,0.206429,MSFT,0
107525,20130515,547,0.206126,MSFT,0
107525,20130515,730,0.225009,MSFT,0
107525,20130515,1825,0.314521,MSFT,0
107525,20130516,10,0.194723,MSFT,0
107525,20130516,14,0.177754,MSFT,0
107525,20130516,30,0.244751,MSFT,0
107525,20130516,60,0.240796,MSFT,0
107525,20130516,91,0.212612,MSFT,0
107525,20130516,122,0.196351,MSFT,0
107525,20130516,152,0.199435,MSFT,0
107525,20130516,182,0.197163,MSFT,0
107525,20130516,273,0.197399,MSFT,0
107525,20130516,365,0.206234,MSFT,0
107525,20130516,547,0.205063,MSFT,0
107525,20130516,730,0.225036,MSFT,0
107525,20130516,1825,0.31441,MSFT,0
107525,20130517,10,0.198508,MSFT,0
107525,20130517,14,0.201465,MSFT,0
107525,20130517,30,0.245598,MSFT,0
107525,20130517,60,0.244704,MSFT,0
107525,20130517,91,0.215977,MSFT,0
107525,20130517,122,0.198766,MSFT,0
107525,20130517,152,0.20099,MSFT,0
107525,20130517,182,0.19909,MSFT,0
107525,20130517,273,0.199057,MSFT,0
107525,20130517,365,0.20733,MSFT,0
107525,20130517,547,0.205106,MSFT,0
107525,20130517,730,0.225541,MSFT,0
107525,20130517,1825,0.314449,MSFT,0
107525,20130520,10,0.119438,MSFT,0
107525,20130520,14,0.200928,MSFT,0
107525,20130520,30,0.233448,MSFT,0
107525,20130520,60,0.248652,MSFT,0
107525,20130520,91,0.214305,MSFT,0
107525,20130520,122,0.20032,MSFT,0
107525,20130520,152,0.200521,MSFT,0
107525,20130520,182,0.199007,MSFT,0
107525,20130520,273,0.199026,MSFT,0
107525,20130520,365,0.206766,MSFT,0
107525,20130520,547,0.204969,MSFT,0
107525,20130520,730,0.225686,MSFT,0
107525,20130520,1825,0.314313,MSFT,0
107525,20130521,10,0.15983,MSFT,0
107525,20130521,14,0.187016,MSFT,0
107525,20130521,30,0.233211,MSFT,0
107525,20130521,60,0.250469,MSFT,0
107525,20130521,91,0.214962,MSFT,0
107525,20130521,122,0.199832,MSFT,0
107525,20130521,152,0.200284,MSFT,0
107525,20130521,182,0.199367,MSFT,0
107525,20130521,273,0.199209,MSFT,0
107525,20130521,365,0.206313,MSFT,0
107525,20130521,547,0.204788,MSFT,0
107525,20130521,730,0.225522,MSFT,0
107525,20130521,1825,0.31431,MSFT,0
107525,20130522,10,0.176152,MSFT,0
107525,20130522,14,0.181335,MSFT,0
107525,20130522,30,0.216139,MSFT,0
107525,20130522,60,0.249194,MSFT,0
107525,20130522,91,0.215085,MSFT,0
107525,20130522,122,0.199387,MSFT,0
107525,20130522,152,0.200106,MSFT,0
107525,20130522,182,0.19956,MSFT,0
107525,20130522,273,0.199118,MSFT,0
107525,20130522,365,0.206456,MSFT,0
107525,20130522,547,0.204745,MSFT,0
107525,20130522,730,0.22537,MSFT,0
107525,20130522,1825,0.314254,MSFT,0
107525,20130523,10,0.211505,MSFT,0
107525,20130523,14,0.189881,MSFT,0
107525,20130523,30,0.221269,MSFT,0
107525,20130523,60,0.250196,MSFT,0
107525,20130523,91,0.214974,MSFT,0
107525,20130523,122,0.200181,MSFT,0
107525,20130523,152,0.200641,MSFT,0
107525,20130523,182,0.199971,MSFT,0
107525,20130523,273,0.199451,MSFT,0
107525,20130523,365,0.205666,MSFT,0
107525,20130523,547,0.204763,MSFT,0
107525,20130523,730,0.225592,MSFT,0
107525,20130523,1825,0.314188,MSFT,0
107525,20130524,10,0.181916,MSFT,0
107525,20130524,14,0.188716,MSFT,0
107525,20130524,30,0.190163,MSFT,0
107525,20130524,60,0.249475,MSFT,0
107525,20130524,91,0.214601,MSFT,0
107525,20130524,122,0.199869,MSFT,0
107525,20130524,152,0.199683,MSFT,0
107525,20130524,182,0.196644,MSFT,0
107525,20130524,273,0.199182,MSFT,0
107525,20130524,365,0.205673,MSFT,0
107525,20130524,547,0.204499,MSFT,0
107525,20130524,730,0.225599,MSFT,0
107525,20130524,1825,0.314066,MSFT,0
107525,20130528,10,0.198917,MSFT,0
107525,20130528,14,0.197522,MSFT,0
107525,20130528,30,0.201749,MSFT,0
107525,20130528,60,0.258538,MSFT,0
107525,20130528,91,0.216234,MSFT,0
107525,20130528,122,0.203142,MSFT,0
107525,20130528,152,0.201559,MSFT,0
107525,20130528,182,0.197606,MSFT,0
107525,20130528,273,0.201146,MSFT,0
107525,20130528,365,0.206737,MSFT,0
107525,20130528,547,0.204561,MSFT,0
107525,20130528,730,0.225906,MSFT,0
107525,20130528,1825,0.31437,MSFT,0
107525,20130529,10,0.183781,MSFT,0
107525,20130529,14,0.200516,MSFT,0
107525,20130529,30,0.189409,MSFT,0
107525,20130529,60,0.256338,MSFT,0
107525,20130529,91,0.215442,MSFT,0
107525,20130529,122,0.202278,MSFT,0
107525,20130529,152,0.19983,MSFT,0
107525,20130529,182,0.197457,MSFT,0
107525,20130529,273,0.201226,MSFT,0
107525,20130529,365,0.206148,MSFT,0
107525,20130529,547,0.204595,MSFT,0
107525,20130529,730,0.225706,MSFT,0
107525,20130529,1825,0.314375,MSFT,0
107525,20130530,10,0.181722,MSFT,0
107525,20130530,14,0.199521,MSFT,0
107525,20130530,30,0.184885,MSFT,0
107525,20130530,60,0.253272,MSFT,0
107525,20130530,91,0.215286,MSFT,0
107525,20130530,122,0.202272,MSFT,0
107525,20130530,152,0.198871,MSFT,0
107525,20130530,182,0.19593,MSFT,0
107525,20130530,273,0.2008,MSFT,0
107525,20130530,365,0.20601,MSFT,0
107525,20130530,547,0.20328,MSFT,0
107525,20130530,730,0.225624,MSFT,0
107525,20130530,1825,0.314255,MSFT,0
107525,20130531,10,0.178287,MSFT,0
107525,20130531,14,0.162311,MSFT,0
107525,20130531,30,0.179006,MSFT,0
107525,20130531,60,0.25388,MSFT,0
107525,20130531,91,0.215779,MSFT,0
107525,20130531,122,0.202584,MSFT,0
107525,20130531,152,0.198171,MSFT,0
